	CODI_VIA	TIPUS_VIA	NOM_OFICIAL	NOM_CURT	DESCRIPCIO	DATA_APROVACIO	NOMS_ANTERIORS	DISTRICTES
1969	202275	Camí	Camí de la Font dels Pins	Camí Font Pins	Municipi de l'Anoia. Carrer del barri de Torre Baró, on hi ha diversos carrers dedicats a poblacions catalanes.			NOU BARRIS (08)
1970	202297	Pg	Passeig de Solé i Pla	Pg Solé i Pla	Pels germans Masriera, artistes joiers i pintors. Josep Masriera i Manovens (Barcelona, 1841 - 1912) i Francesc Masriera i Manovens (Barcelona, 1842 - 1902). Originàriament es dedicà a Francesc, en vida del seu germà Josep.	05/09/1907	Luna, abans de 1900	SANTS-MONTJUÏC (03)
1971	202300	C	Carrer de Mas Yebra	Mas Yebra	Caterina Massaguer i Janer. Propietària dels terrenys després de comprar-los, l'any 1875, a Tomàs Carreras i Massanet, mestre d'obres. En fou propietària fins a l'any 1882.			SANT MARTÍ (10)
1972	202402	Pl	Plaça de Masadas	Pl Masadas	Per honorar Josep Massanet, un advocat revolucionari que l'any 1835 fou un dels caps de la revolta que donà lloc a la nit de Sant Jaume, amb crema de convents i matança de frares. Fou condemnat a mort i afusellat amb uns altres nou inculpats, però en sortí il·lès i s'escapà del carro que portava els cadàvers al fossar. El nom es va donar en triomfar la Revolució de Setembre de 1868. Més tard, l'Ajuntament volgué esborrar la dedicació del carrer al personatge i l'anomenà Maçanet. Els historiadors Roca i Comas van proposar que el nom recordés el municipi de Maçanet de Cabrenys.	05/09/1907	Palma de Santa Catalina, abans de 1865	CIUTAT VELLA (01)
1973	202504	C	Carrer de Mascaró	Mascaró	Miquel Masens i Soler (Malgrat de Mar, 1827 - ?). Propietari i urbanitzador dels terrenys on s'obrí el carrer. Signava com a Masens.	 (Abans de 1900)		GRÀCIA (06)
1974	202708	C	Carrer de Dolors Masferrer i Bosch	Dolors Masferrer	Originàriament el carrer es dedicà a Magí Mata, propietari dels terrenys a principis del segle XIX. En el nomenclàtor de 1980 es dedicà a Pere Mata i Fontanet (Reus, 1811 - 1877). Metge i escriptor liberal.	07/03/1939	Doctor Pedro Mata; Mata, abans de 1900	SANTS-MONTJUÏC (03)
1975	202901	C	Carrer del Masnou	Masnou	Municipi del Vallès Occidental. Pertany a un conjunt de carrers d'un petit nucli urbà, al nord-est de les Llars Mundet, on els carrers són dedicats a poblacions catalanes.	23/12/1946		HORTA-GUINARDÓ (07)
1976	203008	Ptge	Passatge de Masoliver	Ptge Masoliver	Pic del Montseny al nord-oest del massís.	05/09/1907	Luchana, abans de 1900	SANT ANDREU (09)
1977	203100	C	Carrer de Maspons	Maspons	Poble del municipi de les Llosses (Ripollès). L'església parroquial de Santa Maria fou donada el 888 pel comte Gifré el Pelós al monestir de Ripoll. Carrer situat al grup de cases Ramon Albó, al Turó de la Peira, on diversos carrers són dedicats a poblacions de la província de Girona.	29/05/1945	Núm. 12	NOU BARRIS (08)
1978	203201	C	Carrer de Maspons i Labrós	Maspons i Labrós	Ciutat de Cuba. Nom posat, com altres noms cubans de carrers del barri, per veïns retornats de les colònies.			SANT ANDREU (09)
1979	203303	C	Carrer de Masquefa	Masquefa	Condueix al municipi d'aquest nom, capital del Maresme. Ciutat que demanà l'any 1419 la unió a Barcelona amb la fórmula del carreratge, per la qual era considerada com un carrer de Barcelona i els seus habitants gaudien dels mateixos drets i privilegis que els de la capital.			SANT MARTÍ (10)
1980	203405	C	Carrer dels Masriera	Masriera	Conduïa al municipi de Mataró.			SANT MARTÍ (10)
1981	203609	Ptge	Passatge de Massaguer	Ptge Massaguer	Nom popular d'un terreny de la Sagrera.	20/12/1979	Matías Montero	SANT ANDREU (09)
1982	203802	C	Carrer de Massanet	Massanet	La versió de què es disposa diu que honora Pere Benet Mateu, autor d'una famosa farmacopea publicada l'any 1521, la qual es considera la primera farmacopea estampada a Europa. En alguna inscripció del Registre de la Propietat es fa esment del carrer de Sant Mateu, però no és un fet prou significatiu per pensar en una possible variació del nom del carrer a causa de l'agregació de Gràcia a Barcelona. Almenys, no consta en altres documents de l'època.	05/09/1907	Mateo; Hernán Cortés, abans de 1900	GRÀCIA (06)
1983	203904	C	Carrer de Massens	Massens	Mateu Ferran Arrú (Castelldans, 1842 - Barcelona, 1920). Mestre d'escola de Sant Andreu, establert al carrer des de 1871 fins a 1912. Llegà, en morir, els seus béns a obres de beneficència i de cultura.	21/12/1921	Mateo Ferrán; Arco (un tram), abans de 1900	SANT ANDREU (09)
1984	204204	C	Carrer de Mata	Mata	S'hi troba la Casa de Maternitat.	19/10/1929	Maternidad	LES CORTS (04)
1985	204306	C	Carrer de Matadepera	Matadepera	Matilde de Triola i Castellana. Una de les propietàries dels cent set censos i d'un tros de terreny procedent de la peça de deu mujades de l'herència d'Eulàlia Jordà. Aquesta herència fou objecte d'un judici ordinari l'any 1861.	 (Abans de 1872)		GRÀCIA (06)
1986	204703	C	Carrer del Matagalls	Matagalls	Matilde Díez Hermida (Madrid, 1818 - 1883). Actriu teatral. Es casà amb Julián Romea, amb qui dirigí el Teatre Príncipe de Madrid.	05/09/1907	Sol, 09/12/1874	SARRIÀ-SANT GERVASI (05)
1987	204805	C	Carrer de Matamala	Matamala	Maurici Serrahima i Palà (Manresa, 1834 - Barcelona, 1904). Jurisconsult. Fou assessor de l'Ajuntament de Barcelona durant trenta anys.	19/05/1924	Mauricio Serrahima; Budallera, abans de 1900	GRÀCIA (06)
1988	204907	C	Carrer de Matanzas	Matanzas	Maurici Vilomara i Virgili (Barcelona, 1847 - 1930). Escenògraf del Teatre del Liceu.	07/07/1942	Mauricio Vilumara; Doctor Robert, 1931; Mauricio Vilumara; Doctor Robert	HORTA-GUINARDÓ (07)
1989	205105	Ctra	Carretera de Mataró	Ctra Mataró	Pere Mayol i Babot (Barcelona, 1775 - 1845). Propietari del terreny de seixanta-tres àrees i quaranta-sis centiàrees que comprà el 1818 a Jaume Llavallol. El succeí el seu fill Pere Mayol i Pujolà (Barcelona, 1819 - 1888).	 (Abans de 1875)	Mayol	EIXAMPLE (02)
1990	205150	Ctra	Carretera Antiga de Mataró	Ctra Antiga Mataró	Condueix a les instal·lacions esportives i al barri de Can Caralleu.	10/10/1980		SARRIÀ-SANT GERVASI (05)
1991	205309	C	Carrer del Camp del Ferro	Camp del Ferro	El carrer major de l'antiga vila de Gràcia.	22/09/1981	Mayor de Gracia; Nicolás Salmerón; Gracia; Salmerón; Mayor	GRÀCIA (06)
1992	205400	C	Carrer de Mateu	Mateu	Pel masover de Can Planes que ajudava a la parròquia de Vallvidrera, raó per la qual l'anomenaven el rectoret.	20/12/1979	Ctra. Creu d'en Blau	SARRIÀ-SANT GERVASI (05)
1993	205502	C	Carrer de Mateu Ferran	Mateu Ferran	Plaça d'entrada a la barriada del Rectoret des de l'estació de les Planes.	 (Abans de 1800)		SARRIÀ-SANT GERVASI (05)
1994	205604	C	Carrer de la Maternitat	Maternitat	El carrer gran de l'antiga vila de Sarrià.	13/10/1950	Mayor de Sarria; Sarrià; Capuchinos; Cataluña; Mayor (s'hi uneix); Prim (s'hi uneix); Serrano; Capuchinos del Desierto	SARRIÀ-SANT GERVASI (05)
1995	205808	C	Carrer de Matilde	Matilde	Forma part d'un conjunt de carrers de la Zona Franca dedicats a temes industrials.	25/06/1958		SANTS-MONTJUÏC (03)
1996	205900	C	Carrer de Matilde Díez	Matilde Díez	Arxipèlag del Baix Empordà.	05/09/1907	Las Medas; Corral, abans de 1900	GRÀCIA (06)
1997	206006	C	Carrer de Maurici Serrahima	Maurici Serrahima	Forma conjunt amb els carrers de Sant Pere Més Alt i Sant Pere Més Baix. Els qualificatius dels tres carrers de Sant Pere provenen d'una sentència de la Generalitat per resoldre el plet posat pels veïns dels tres carrers, que es disputaven la propietat del nom de Sant Pere.	 (Abans de 1865)	Mediana de San Pedro	CIUTAT VELLA (01)
1998	206108	C	Carrer de Maurici Vilomara	Maurici Vilomara	Municipi de l'Alt Penedès. Forma conjunt amb els carrers termeners de Veciana, Cardedeu i Manlleu, en el mateix barri.	23/12/1946	Ctra. de San Ginés a Nuestra Señora del Coll; Núm. 7	GRÀCIA (06)
1999	206200	Ptge	Passatge de Maiol	Ptge Maiol	Mar continental entre Europa, Àfrica i Àsia. Carrer de la Barceloneta.	05/09/1907	Mediterráneo; Hernán Cortés, abans de 1900	CIUTAT VELLA (01)
2000	206356	C	Carrer Major de Can Caralleu	Major Can Caralleu	Ramón de Meer y Kindelán (Barcelona, segle XVIII - segle XIX). Militar. Baró de Meer i primer comte de Gra. Capità general de Catalunya del 1837 al 1839 i  del 1843 al 1845. Vencé els carlins l'any 1837. Isabel II el nomenà diputat i senador. Dominà el moviment progressista barceloní.	05/09/1907	Santa Eulàlia, abans de 1900	CIUTAT VELLA (01)
2001	206403	C	Carrer Gran de Gràcia	Gran de Gràcia	José Mejía Lequerica (Quito, 1776 - Cadis, 1813). Polític. A les Corts de Cadis de 1810, van estar representades en una assemblea, per primera vegada en la història d'Espanya, totes les nacions que aleshores la constituïen. Diputat a les Corts constituents de 1812; portà la veu i la direcció dels cinquanta-sis diputats americans que hi assistiren. Per la seva eloqüència, fou anomenat el Mirabeau americà.	22/12/1910		LES CORTS (04)
2002	206458	C	Carrer Major del Rectoret	Major del Rectoret	El país d'Amèrica del Nord situat a l'extrem sud.	 (Abans de 1900)	Méjico	SANTS-MONTJUÏC (03)
2003	206469	Pl	Plaça Major del Rectoret	Pl Major Rectoret	Melcior de Palau i Català (Mataró, 1843 - Madrid, 1910). Enginyer, poeta i publicista.	31/05/1927	Melchor de Palau; Padre Gallifa; Fivaller, abans de 1900	SANTS-MONTJUÏC (03)
2004	206505	C	Carrer Major de Sarrià	Major de Sarrià	Ciutat del nord d'Àfrica, a la costa del Marroc, de sobirania espanyola.	18/01/1922		SARRIÀ-SANT GERVASI (05)
2005	206607	C	Carrer de la Mecànica	Mecànica	Torrent que baixava des del parc del Guinardó cap a l'Hospital de la Santa Creu i de Sant Pau. Avui dia ha quedat engolit per les noves urbanitzacions dutes a terme.		Ctra. de la Montaña; Brujas	HORTA-GUINARDÓ (07)
2006	206709	C	Carrer de les Medes	Medes	Johann Gregor Mendel (Heinzendorf, 1822 - Brno, 1884). Botànic i biòleg. Fou ordenat canonge augustinià i adoptà el nom de pare Gregor.	25/04/1958	Trav. camino de en Pons	SARRIÀ-SANT GERVASI (05)
2007	206800	C	Carrer de Sant Pere Mitjà	Sant Pere Mitjà	Casto Méndez Núñez (Vigo, 1824 - 1869). Marí. Cap de la flota espanyola quan el Perú declarà la guerra a Espanya (1866).	 (Abans de 1900)		CIUTAT VELLA (01) EIXAMPLE (02)
2008	206902	C	Carrer de Mediona	Mediona	Santiago Méndez Vigo (Oviedo, 1790 - Madrid, 1860). General liberal. Ministre de la Guerra el 1836 i governador de Puerto Rico de 1841 a 1844.	 (Abans de 1900)		EIXAMPLE (02)
2009	207009	C	Carrer de la Mediterrània	Mediterrània	Antic torrent que travessava la vila de Gràcia.	24/01/1989	Menéndez Pelayo; T. de la Olla	GRÀCIA (06)
2010	207100	C	Carrer de Meer	Meer	Un curt carrer que desemboca a la plaça de Sarrià, on també trobem el carrer Major.	04/12/1888		SARRIÀ-SANT GERVASI (05)
2011	207202	C	Carrer de Mejía Lequerica	Mejía Lequerica	L'illa balear, conquerida el 1287 per Alfons II de Catalunya-Aragó. Constituí, amb Mallorca i el Rosselló, el Regne de Mallorca, que fou independent fins al 1343, data en la qual s'incorporà a Catalunya-Aragó. Del 1713 al 1756 fou de sobirania britànica. Del 1756 al 1763, francesa. I novament britànica fins al 1782, data en la qual s'incorporà a l'Estat espanyol.	07/07/1942	Mallorca (3r tram); Lletra J (Pla Cerdà)	SANT MARTÍ (10)
2012	207304	C	Carrer de Mèxic	Mèxic	Hi és ubicat el mercat de Sant Andreu, projectat per l'arquitecte Josep Mas i Vila, la primera pedra del qual es posà el 16 de març de 1851.	05/09/1907	Mercado, abans de 1900	SANT ANDREU (09)
2013	207406	C	Carrer de Melcior de Palau	Melcior de Palau	Per la noble família Mercader. En foren propietaris Magí de Mercader i de Moragas, Ramon de Mercader i de Novell i de Sadurní, i el seu fill Joaquim de Mercader (Mataró, 1824 - Cornellà de Llobregat, 1904). Historiador i arqueòleg. Comte de Bell-lloc. Vengué terrenys a Pau Bori i Riu amb el compromís d'obrir un passatge de cinquanta pams d'ample que s'anomenés de Mercader.	 (Abans de 1900)		EIXAMPLE (02)
2014	207508	C	Carrer de Melilla	Melilla	El segle XIII els personatges més sobresortints del comerç barceloní hi havien establert la seva residència. En una de les cases del carrer va morir, el 26 de desembre de 1417, la reina Elionor de Xipre, infanta d'Aragó, néta del rei Jaume II.	 (Abans de 1417)		CIUTAT VELLA (01)
2015	207600	T	Torrent de Melis	T Melis	Condueix al mercat d'Horta.	 (Abans de 1800)	Mercado	HORTA-GUINARDÓ (07)
2016	207701	C	Carrer de Mendel	Mendel	Condueix al mercat de Sant Andreu.	07/07/1942	Mercado; Eliseo Rellús; Mercado, abans de 1900	SANT ANDREU (09)
2017	207803	C	Carrer de Méndez Núñez	Méndez Núñez	Condueix al mercat de la Concepció.	 (Abans de 1900)	Mercado	EIXAMPLE (02)
2018	207905	Ptge	Passatge de Méndez Vigo	Ptge Méndez Vigo	Pel mercat del Clot.	 (Abans de 1900)	Mercado	SANT MARTÍ (10)
2019	208001	C	Carrer del Torrent de l'Olla	Torrent de l'Olla	Hi eren intenses les activitats mercantils. Prop de l'antic mercat central del Born.	29/03/1922	Comercial	CIUTAT VELLA (01)
2020	208056	C	Carrer Menor de Sarrià	Menor de Sarrià	Per l'església i el convent de la Mercè. L'orde de la Mercè fou instituït el 1218 per sant Pere Nolasc, sant Ramon de Penyafort i Jaume I. Segons la tradició, per una aparició de la Mare de Déu la nit del 2 d'agost de 1218.	 (Abans de 1900)	Merced; Ballesters; Dressana Vella	CIUTAT VELLA (01)
2021	208205	C	Carrer de Menorca	Menorca	Valeri Serra i Boldú (Castellserà, 1875 - Barcelona, 1938). Folklorista i publicista. Creador de l'Arxiu de Tradicions Populars (1928).	26/02/1982	Merced	EIXAMPLE (02)
2022	208307	Pl	Plaça del Mercadal	Pl Mercadal	Per l'església de la Mercè, la façana de la qual hi dóna al davant. L'església va ser renovada per Josep Mas i inaugurada l'any 1775. El 1888 es donà forma a la cúpula actual i es coronà amb una imatge de la Mare de Déu de la Mercè, refeta el 1959 per Miquel Oslé. L'any 1981 finalitzaren els treballs de demolició de l'illa de cases compresa entre el carrer Ample i els carrers de Louis Braille, de la Mercè i d'en Boltres, cosa que va permetre que l'antiga placeta del davant del temple pogués ampliar-se fins a les dimensions actuals.	 (Abans de 1900)	Merced	CIUTAT VELLA (01)
2023	208409	Ptge	Passatge de Mercader	Ptge Mercader	Mercedes, nom relacionat amb l'illa de Cuba, barri de Cuba. Dedicació que té relació amb el carrer de Marianao.		Nuestra Senyora de las Mercedes, 16/03/1898	GRÀCIA (06)
2024	208602	C	Carrer de Mercaders	Mercaders	En homenatge a Mercedes Güell i López, (Barcelona, 1889- 1954), filla d'Eusebi Güell, comte de Güell, propietari dels terrenys de l'indret, des de 1899.			GRÀCIA (06)
2025	208704	Bda	Baixada del Mercat	Bda Mercat	"El més probable és que fos en homenatge i record de la malaurada reina Mercè d'Orleans (Madrid, 1860-1878), muller del rei Alfons XII, que va morir de febre tifoide l'any del seu casament, desencadenant un gran sentiment de dolor a tota la població. Hi ha el precedent del carrer de Maria Victòria, el qual, sense  posar davant del nom el títol de ""Reina"", es tractava de Maria Victòria del Pozzo della Cisterna, reina d'Espanya, muller d'Amadeu I."			GRÀCIA (06)
2026	208806	C	Carrer del Mercat	Mercat	El seu traçat nord-sud coincideix aproximadament amb el meridià est de Greenwich: 2º 10' 20''.	 (Abans de 1900)	Gran Via Meridiana, 1899	EIXAMPLE (02) NOU BARRIS (08) SANT ANDREU (09) SANT MARTÍ (10)
2027	208908	Ptge	Passatge del Mercat	Ptge Mercat	Situat al paratge anomenat Clot de la Mel, en un terreny que fou propietat de Francesc de Milans i de Duran fins al 1843, en què passà a mans de Francesc Coll i Carbonell. Molts dels motius dels noms de carrers són producte del caprici dels urbanitzadors. En aquest s'aprecia una repetició de fonemes entre Meridiana, on desemboca, i Meridional.			SANT MARTÍ (10)
2028	209004	Pl	Plaça del Mercat	Pl Mercat	Ciutat de Sicília, Itàlia. Carrer del barri del Besòs, on diversos carrers són dedicats a poblacions italianes.	 (Abans de 1940)	Mesina	SANT MARTÍ (10)
2029	209106	Ptge	Passatge Mercantil	Ptge Mercantil	Per l'hostal amb aquest nom que s'establí al carrer a mitjan segle XVIII.			CIUTAT VELLA (01)
2030	209208	C	Carrer de la Mercè	Mercè	Carrer del polígon de la Zona Franca, on diversos carrers són dedicats a elements, materials i estris d'ús en la indústria.	25/06/1958	Metalurgia	SANTS-MONTJUÏC (03)
2031	209300	Ptge	Passatge de Valeri Serra	Ptge Valeri Serra	Per la capella dedicada a sant Cosme i a sant Damià, patrons dels metges. La comunitat de la parròquia de Sant Pere de les Puelles establí al carrer una infermeria, que posà sota el patrocini d'aquests sants.	 (Abans de 1865)	Barnet	CIUTAT VELLA (01)
2032	209401	Pl	Plaça de la Mercè	Pl Mercè	Misser és un tractament antic català que es donava a la gent de lletres. El 30 d'agost de 1647, el subsíndic del Consell de Cent, en nom de la ciutat, prengué possessió de les cases de misser Joseph Amigant i misser Joseph Ferrer.	30/11/1948	Micerferrer	CIUTAT VELLA (01)
2033	209503	C	Carrer de Mercedes	Mercedes	Forma conjunt amb els carrers de l'Alt i el Baix del Turó, en una zona aturonada al sud-est del parc del Guinardó.			HORTA-GUINARDÓ (07)
2034	209605	Ptge	Passatge de Mercedes	Ptge Mercedes	Pel nom de l'indret que trobem escrit amb diferents grafies: Putxet, Puget o Puixet, tots són derivats diminutius de puig (del llatí podium, muntanya).			SARRIÀ-SANT GERVASI (05)
2035	209707	Rbla	Rambla de Mercedes	Rbla Mercedes	Michelangelo Buonarroti di Neri (Caprese, 1475 - Roma, 1564). Escultor, pintor, arquitecte i poeta.	05/09/1907	Miguel Ángel; Amposta (s'hi uneix), 17/03/1908; Clavé (nom anterior del c. Amposta); San Juan, abans de 1900	SANTS-MONTJUÏC (03)
2036	209809	C	Carrer del Mercuri	Mercuri	Miquel Bleach i Burunat (Barcelona, 1849 - 1900). Mestre pedagog de les barriades de Sants i Hostafrancs.	16/08/1927	Miguel Bleach; Santa Eulàlia; Magòria	SANTS-MONTJUÏC (03)
2037	209900	Av	Avinguda Meridiana	Av Meridiana	Miquel de Boera (Sant Feliu de Guíxols, segles XV - XVI). Militar. General al servei del virrei de Nàpols, prengué part en la batalla de Ravenna contra els francesos (1512) i en les expedicions a Trípoli i Orà durant el regnat de Carles I.	 (Abans de 1900)	Miguel Boera	CIUTAT VELLA (01)
2038	210003	C	Carrer Meridional	Meridional	Miquel Ramon Ferrà i Juan (Palma de Mallorca, 1885 - 1947). Poeta i assagista. Membre corresponent de l'Institut d'Estudis Catalans.	13/10/1981		NOU BARRIS (08)
2039	210105	C	Carrer de Messina	Messina	Miquel dels Sants Oliver i Tolrà (Campanet, 1864 - Barcelona, 1920). Periodista, historiador, poeta, narrador i ideòleg. President de l'Ateneu Barcelonès (1917) i membre de l'Institut d'Estudis Catalans. Fou director del Diario de Barcelona i, posteriorment, de La Vanguardia.	29/03/1922	Miguel de los Santos Oliver; Santos Oliver	HORTA-GUINARDÓ (07)
2040	210207	C	Carrer de l'Hostal de Sant Antoni	Hostal Sant Antoni	En record del segle.	18/06/1936	Mil Ochocientos	CIUTAT VELLA (01)
2041	210309	C	Carrer de la Metal·lúrgia	Metal·lúrgia	Manuel Milà i Fontanals (Vilafranca del Penedès, 1818 - 1884). Filòleg i escriptor. Historiador de la literatura catalana medieval i catedràtic a la Universitat de Barcelona. President de l'Acadèmia de Bones Lletres de Barcelona (1861 - 1878); membre de la de Belles Arts, i corresponent de l'Acadèmia de la Història i de l'Acadèmia Espanyola.	05/09/1907	Milá y Fontanals; Cervantes, abans de 1900	GRÀCIA (06)
2042	210400	C	Carrer dels Metges	Metges	Pel miracle atribuït pels veïns a la Verge del Carme d'haver-los preservat de les epidèmies de còlera de 1854 i 1865. Inicialment s'anomenava carrer del Carme. En aquest indret, abans de ser edificat, hi havia nombroses bòbiles. Es conta que en fer un forat hi van trobar una imatge de la Mare de Déu del Carme. La bòbila passà a anomenar-se del Miracle.	 (Abans de 1900)	Milagro	SANTS-MONTJUÏC (03)
2043	210502	C	Carrer del Misser Ferrer	Misser Ferrer	Antic estat del nord d'Itàlia, format entorn de Milà, que en fou la capital. Fou de dominació hispànica entre 1540 i 1706 quan, en el curs de la Guerra de Successió, el príncep Eugeni de Savoia conquerí el Milanesat per a Àustria, el domini del qual fou reconegut pel tractat d'Utrecht (1713). El 1815 fou incorporat al Regne d'Itàlia.	07/03/1939	Milanesado; Adolfo Blanch, 25/09/1931; Milanesado, 18/05/1947; Adolfo Blanch (Ajuntament de Sarrià); Castells, abans de 1888	SARRIÀ-SANT GERVASI (05)
2044	210706	Ptge	Passatge del Mig del Turó	Ptge Mig del Turó	Per la família Milans, provinent d'Arenys de Mar. L'any 1739, Felip V concedí a Bonaventura Milans, ciutadà honrat de Barcelona, el privilegiorum audientia, un títol nobiliari. Un membre de la família fou el general Milans del Bosch (? - 1829), distingit en la guerra del Francès (acció de Sabadell, 1810) i liberal lluitador per les idees progressistes. Carrer obert cap a l'any 1850 en terrenys de la família.	 (Abans de 1865)		CIUTAT VELLA (01)
2045	210772	Jard	Jardins del Turó del Putxet	Jard Turó Putxet	John Milton (Londres, 1608 - 1674). Poeta.	05/09/1907	Proclamación, abans de 1900	GRÀCIA (06)
2046	210808	C	Carrer de Miquel Àngel	Miquel Àngel	En homenatge a l'art teatral. Carrer del barri de Montbau; forma part d'un grup de carrers amb noms afins.			HORTA-GUINARDÓ (07)
2047	210900	C	Carrer de Miquel Bleach	Miquel Bleach	El gènere de la planta llenyosa o herbàcia. Nom donat al carrer l'any 1927 en substitució del de carrer del Bon Repòs. Atorgat per l'Ajuntament de Sarrià l'any 1922 per l'abundància de mimoses en un dels jardins del carrer.	25/09/1931	Mimosas; Buen Reposo (Ajuntament de Sarrià); Buenavista, abans de 1888	SARRIÀ-SANT GERVASI (05)
2048	211006	C	Carrer de Miquel Boera	Miquel Boera	L'arbust. Forma part d'un conjunt de carrers amb noms de plantes i de flors.	10/04/1981	Mimoses	SARRIÀ-SANT GERVASI (05)
2049	211050	C	Carrer de Miquel Ferrà	Miquel Ferrà	Francisco Espoz Ilundain (Idocín, 1781 - Barcelona, 1836). Militar anomenat Espoz i Mina. Cabdill de la guerra del Francès, capità general de Catalunya de signe liberal i virrei de Navarra.	 (Abans de 1900)		CIUTAT VELLA (01)
2050	211108	C	Carrer de Miquel dels Sants Oliver	M Sants Oliver	Per l'antiga mina que conduïa l'aigua a Barcelona i que passava pel carrer.	31/10/1955	Acueducto	NOU BARRIS (08)
2051	211200	Ptge	Passatge del Mil vuit-cents	Ptge Mil vuit-cent	Forma part d'un conjunt de carrers de la Zona Franca dedicats a temes industrials.	24/02/1965	Cinètica	SANTS-MONTJUÏC (03)
2052	211301	C	Carrer de Milà i Fontanals	Milà i Fontanals	Nom llatí de la deessa grega Atenea, filla de Zeus.	 (Abans de 1900)		GRÀCIA (06)
2053	211403	C	Carrer del Miracle	Miracle	Joaquim Ministral i Lloveras (la Bisbal d'Empordà, 1852 - Barcelona, 1924). Propietari dels terrenys des del 1922.			GRÀCIA (06)
2054	211505	C	Carrer del Milanesat	Milanesat	Riu de Galícia.	01/07/1929	Tibidabo (plànol general Sant Gervasi), abans de 1865	SARRIÀ-SANT GERVASI (05)
2055	211607	C	Carrer de Milans	Milans	Francesc Miquel i Badia (Barcelona, 1840 - 1899). Escriptor, periodista, crític d'art i advocat. Professor de l'Escola de Belles Arts. Membre de les acadèmies barcelonines de Bones Lletres, Ciències i Arts, i Jurisprudència.	21/12/1921	Miquel y Badia	GRÀCIA (06)
2056	211709	C	Carrer de Milton	Milton	En honor del comte Mir, el qual, al segle X, féu construir la sèquia Comtal.	05/09/1907	Santo Domingo, abans de 1900	SANT ANDREU (09)
2057	211800	C	Carrer de la Mímica	Mímica	Mir Geribert (? - Tortosa, 1060). Príncep d'Olèrdola. Cap de la revolta d'una part de la noblesa catalana contra Ramon Berenguer I. En consolidar-se l'autoritat del comte, hagué de cedir el castell vescomtal del Port, que per herència li pertanyia.	23/03/1911	Mir y Giribert; San Magín	SANTS-MONTJUÏC (03)
2058	211902	C	Carrer de les Mimoses	Mimoses	Hi estaven establerts antigament els fabricants de miralls. Hi ha constància que l'any 1492 ja era conegut amb aquest nom. Hi va néixer Pi i Margall.	 (Abans de 1865)	Sentmenat; Tireters	CIUTAT VELLA (01)
2059	211957	Pg	Passeig del Grèvol	Pg Grèvol	Avinguda de la muntanya de Montjuïc.			SANTS-MONTJUÏC (03)
2060	212009	C	Carrer de Mina	Mina	Condueix al mirador de la falda de Montjuïc.			SANTS-MONTJUÏC (03)
2061	212304	C	Carrer de la Mina de la Ciutat	Mina de la Ciutat	Situats en el lloc de Montjuïc anomenat Miramar.			SANTS-MONTJUÏC (03)
2062	212406	C	Carrer de la Mineria	Mineria	Puja del carrer Nou de la Rambla cap a Montjuïc.	07/07/1942		SANTS-MONTJUÏC (03)
2063	212508	C	Carrer de Minerva	Minerva	Poema de Frederic Mistral. A Provença, familiarment, Maria.		Llibertat	SANT ANDREU (09)
2064	212600	Ptge	Passatge de Ministral	Ptge Ministral	Joaquim Miret i Sans (Barcelona, 1858 - 1919). Historiador i jurisconsult. Membre de l'Acadèmia de Bones Lletres i membre fundador de l'Institut d'Estudis Catalans (1907).	04/11/1931	Miret y Sans; Barón de Eroles (un tram), 18/05/1927; Miret y Sans, març de 1922; Amistad, 1852	LES CORTS (04)
2065	212701	C	Carrer del Miño	Miño	Frederic Mistral (Maiano, 1830 - 1914). Escriptor i poeta. Premi Nobel de literatura l'any 1904.	25/06/1930	Milans del Bosch; Pº de la Cruz Cubierta, abans de 1900; Ctra. de Madrid; Ctra. Real; Ctra. Antigua de la Cruz Cubierta; Cº del Portal San Antonio Cruz Cubierta; Cº Antiguo de San Antonio	EIXAMPLE (02)
2066	212803	C	Carrer de Miquel i Badia	Miquel i Badia	Modest Urgell i Inglada (Barcelona, 1839 - 1919). Pintor, paisatgista i dramaturg.	29/03/1922	Modesto Urgell; Puig; Pje. Acequia	SANT ANDREU (09)
2067	212905	C	Carrer de Mir	Mir	Pels propietaris del terreny on s'obrí el carrer: Magí Modolell i Negrevernís (Sant Just Desvern, 1789 - Barcelona, 1851), Vicenç Modolell i Vallmajó (? - 1864), Joaquim Modolell-Vallmajor del Puig (1838 - 1890). L'anomenat turó d'en Modolell formava part de la línia de petits turons paral·lels a la serra de Collserola. El nom també s'aplicà a una partida de terres compresa entre Sarrià, el camp d'en Galvany, Can Regàs i el passeig de la Bonanova.	05/01/1876		SARRIÀ-SANT GERVASI (05)
2068	213001	C	Carrer de Mir Geribert	Mir Geribert	Riera que, unida al riu Congost, forma el riu Besòs.			SANT MARTÍ (10)
2069	213170	Jard	Jardins del Mirador	Jard Mirador	Joan Monyarch i Busquets (Ciutadilla, 1886 - Barcelona, 1933). Casat amb Joaquima Pujol i Serracant. Ambdós eren propietaris del terreny on s'obrí el passatge.	14/03/1991	Moïnyarch; Moiñarch; Moïnyarc	SANT MARTÍ (10)
2070	213205	C	Carrer de Mirallers	Mirallers	Hi estaven establerts molers que confeccionaven moles per als molins.	 (Abans de 1900)	Molas; Sarrerna; Sarrià	CIUTAT VELLA (01)
